codigo_fonte,descricao,grupo_destinacao,recurso_vinculado_flag
25300000,Royalties Gerais - Exercícios Anteriores (Legado),outros_vinculados,true
2540,Transferências do FUNDEB - Exercícios Anteriores,educacao,true
2550,Salário-Educação - Exercícios Anteriores,educacao,true
2573,Royalties da Educação - Exercícios Anteriores,educacao,true
2600,Transferências do SUS - Bloco de Manutenção - Exercícios Anteriores,saude,true
2605,Piso da Enfermagem - Exercícios Anteriores,saude,true
2621,Convênios da Saúde - Exercícios Anteriores,saude,true
2700,Convênios da União - Exercícios Anteriores,outros_vinculados,true
2701,Convênios do Estado - Exercícios Anteriores,outros_vinculados,true
2704,Setor Cultural - Exercícios Anteriores,outros_vinculados,true
2800,Recursos do RPPS - Exercícios Anteriores,previdencia,true
2801,Recursos do RPPS - Taxa de Administração - Exercícios Anteriores,previdencia,true
2802,Recursos do RPPS - Outros - Exercícios Anteriores,previdencia,true
9800,Compensação Previdenciária RPPS / RGPS,previdencia,true
9801,Compensação Previdenciária - Regime Geral,previdencia,true
9802,Outras Compensações Previdenciárias,previdencia,true
sem_fonte,Sem desdobramento de fonte de recursos na MSC,sem_fonte,false
